data_inicio,ano,mes,data_fim,ano_pmo,mes_pmo,numero_revisao,semana_operativa,id_modelo_usina,id_subsistema,subsistema,usina,custo_variavel_unitario
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,421,N,NORTE,MARAN_VL22,340.73
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,70,N,NORTE,GERAMAR2,1135.76
2022-01-01,2022,1,2022-01-07,2022,1,0,PMO Janeiro 2022,436,N,NORTE,MARANIVL22,340.73
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,436,N,NORTE,MARANIVL22,396.83
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,176,N,NORTE,P. ITAQUI,631.92
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,70,N,NORTE,GERAMAR2,1096.55
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,140,N,NORTE,UTE MAUA 3,189.02
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,212,N,NORTE,MARANHAO3,101
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,116,N,NORTE,PARNAIB_IV,151.69
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,437,N,NORTE,MARANIVL_7,396.82
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,421,N,NORTE,MARAN_VL22,396.83
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,209,N,NORTE,TAMBAQUI,0
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,239,N,NORTE,PARNAIBA_V,205.21
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,203,N,NORTE,C. ROCHA,0
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,204,N,NORTE,JARAQUI,0
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,46,N,NORTE,N.VENECIA2,273.69
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,422,N,NORTE,MARAN_VL_7,396.82
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,36,N,NORTE,MARANHAOIV,396.82
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,73,N,NORTE,GERAMAR1,1096.55
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,21,N,NORTE,MARANHAO V,396.82
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,201,N,NORTE,APARECIDA,189.02
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,207,N,NORTE,PONTA NEGR,0
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,447,N,NORTE,N.VEN2_L7,273.69
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,205,N,NORTE,MANAUARA,0
2022-12-31,2022,12,2023-01-06,2022,12,0,PMO Janeiro 2023,446,N,NORTE,N.VEN2_L22,273.69
2022-10-01,2022,10,2022-10-07,2022,10,0,PMO Outubro 2022,201,N,NORTE,APARECIDA,244.53
