data,hora,ano,mes,id_subsistema,subsistema,valor_demanda,usina_hidraulica_verificada,geracao_pequena_usina_hidraulica_verificada,geracao_usina_termica_verificada,geracao_pequena_usina_termica_verificada,geracao_eolica_verificada,geracao_fotovoltaica_verificada
2023-12-21,18:00:00,2023,12,N,NORTE,737798000000,492784000000,4800,214900000000,21000,37310,2000
2023-12-21,21:00:00,2023,12,N,NORTE,781008000000,541208000000,4900,214900000000,20900,39100,0
2023-12-21,21:30:00,2023,12,N,NORTE,790620000000,506486000000,4900,214900000000,20900,38790,0
2023-12-21,22:00:00,2023,12,N,NORTE,797289000000,500271000000,4900,214900000000,20900,38410,0
2023-12-21,00:30:00,2023,12,SE,SUDESTE,4491353000000,3957441000000,170700,614530000000,194800,800,0
2023-12-21,23:30:00,2023,12,SE,SUDESTE,4756086000000,4146044000000,172900,496730000000,188800,800,0
2023-12-21,00:00:00,2023,12,NE,NORDESTE,1339127000000,385989000000,8900,178965000000,49400,729700,0
2023-12-21,01:00:00,2023,12,N,NORTE,765918000000,302159000000,4800,216014000000,21200,32590,0
2023-12-21,00:00:00,2023,12,N,NORTE,780816000000,294898000000,4800,224014000000,21400,35410,0
2023-12-21,00:30:00,2023,12,N,NORTE,772828000000,294273000000,4800,220014000000,21300,34000,0
2023-12-21,01:00:00,2023,12,SE,SUDESTE,4371852000000,4030456000000,170500,565230000000,194600,800,0
2023-12-22,16:30:00,2023,12,N,NORTE,748049000000,355099000000,4700,102400000000,20900,32900,26800
2023-12-22,17:00:00,2023,12,N,NORTE,728114000000,372489000000,4800,100700000000,20900,32590,16700
2023-12-22,17:30:00,2023,12,N,NORTE,714121000000,389241000000,4800,100700000000,20900,32100,8700
2023-12-22,07:30:00,2023,12,NE,NORDESTE,1181124000000,127027000000,8600,122900000000,49500,1354190,417480
2023-12-22,22:30:00,2023,12,NE,NORDESTE,1275293000000,239183000000,9200,122900000000,48200,1251880,0
2023-12-22,22:00:00,2023,12,NE,NORDESTE,1284914000000,256516000000,9200,122900000000,48300,1253120,0
2023-12-22,15:00:00,2023,12,NE,NORDESTE,1332945000000,218498000000,8600,122900000000,48100,973780,467800
2023-12-22,19:30:00,2023,12,NE,NORDESTE,1255602000000,253442000000,9200,122900000000,48000,1232220,0
2023-12-22,01:30:00,2023,12,NE,NORDESTE,1196216000000,200365000000,8800,122900000000,49100,1126500,0
2023-12-22,12:30:00,2023,12,NE,NORDESTE,1285840000000,128840000000,8500,122900000000,48700,980760,658620
2023-12-22,09:30:00,2023,12,NE,NORDESTE,1281815000000,127027000000,8500,122900000000,49200,1270170,610720
2023-12-22,18:00:00,2023,12,NE,NORDESTE,1251902000000,307692000000,9000,122900000000,48200,1074640,190
2023-12-22,08:00:00,2023,12,NE,NORDESTE,1219117000000,127027000000,8600,122900000000,49500,1377230,475590
2023-12-22,11:00:00,2023,12,NE,NORDESTE,1305011000000,127027000000,8500,122900000000,48600,1084050,682290
2023-12-22,20:30:00,2023,12,NE,NORDESTE,1252005000000,253430000000,9200,122900000000,48200,1261940,0
2023-12-22,11:30:00,2023,12,NE,NORDESTE,1303215000000,127027000000,8500,122900000000,48600,1035000,681890
2023-12-22,18:30:00,2023,12,NE,NORDESTE,1268713000000,296300000000,9100,122900000000,48100,1126710,90
2023-12-22,23:30:00,2023,12,NE,NORDESTE,1249312000000,265776000000,9200,122900000000,48200,1250760,0
